status;title;size
"To do";;"Admin Dashboard"
"To do";;"Inserire Progeto Github Usera Area"
"To do";1;"Test routing API senza redirect nginx [s1]"
"To do";;"ESUP-60364: Errore in simulazione da excel"
"To do";;"Restore jenkins slave w52 - @debrando"
"To do";;"UAT-57586: Clone from project - dataset della simulazione punta al progetto originario anziché a quello copia"
"To do";;"UAT-59540: Matrix - Valori in storia sulla diagonale"
"To do";;"Cloned macro produce omonimous dataset"
"To do";;"ESUP-55135: Errore nell'esecuzione macro APPLICATION_INDIVIDUALS (1.3)"
"To do";;"Select parameters for DS update"
"To do";;"Separatore interpretato male"
"To do";;"CSV non caricabile"
"To do";;"rating API: Integrazione spine o integrazione rotte"
"To do";;"Settings evolution"
"To do";;"Settings evolution"
"To do";;"swagger validator"
"To do";;"cubes are not correctly read by simviewer when they are rerun"
"To do";;"ECL - compute VEC measures"
"To do";;"TMatrix - compute VEC measures"
"To do";;"Normalize STORAGE urls"
"To do";;"Valutare L'introduzione di [questa](https://github.com/pyopenapi/pyswagger) libreira per i test API backend"
"To do";;"@glaucouri"
"To do";1;"UT filter with Pytest markers on standard pipeline [s1]"
"To do";1;"UT reporting with jUNIT on standard pipeline [s1]"
"To do";1;"Autodoc integration on standard pipeline [s1]"
"In progress";;"OWASP improvements"
"In progress";;"Compatibility Matrix for Modeling Platform - @debrando @loredanaribatto"
"In progress";;"Migrating RatingPro API into PythoWeb"
"In progress";;"rating PRO API test suite"
"In progress";;"rating PRO API Performance test"
"In progress";;"NetLoans - compute_vec_measures"
"In progress";;"Componente NetLoans gestione delle MA e params"
"In progress";;"New admin endpoints"
"In progress";;"UI Profile"
"In progress";;"UI Activities"
"In progress";;"UI Project/Warehouse (User Admin Area)"
"In review";;"Overview functionalities"
"In review";;"Pytho admin refinements"
"In review";;"Riorganizzazione Generale Settings"
"In review";;"API: Introduzione pre_serialize come serializzatore"
"In review";;"Staging - TEST suite"
"In review";;"Admin API list"
"In review";;"Aggiungere uno straccio di doc per gli sviluppatori che descriva come swaggerizzare i nostri metodi"
"In review";;"Swaggerize me"
"In review";;"api/v0/share: send and receive only the highest permission for each user"
